At Current Time Step = 0
Region A 
Enimies:
ID   Type   TimeStep   Health   FirePower   Priority
35   2      4          21       5           0.24
35   2      4          21       5           0.24
35   2      4          21       5           0.24
35   2      4          21       5           0.24
35   2      4          21       5           0.24
47   2      0          21       5           0.24
48   2      3          9        5           0.12
65   2      2          9        5           0.12
20   0      1          20       2           0
20   0      1          20       2           0
20   0      1          20       2           0
20   0      1          20       2           0
20   0      1          20       2           0
18   1      1          13       2           0
8    0      1          18       2           0
8    0      1          18       2           0
4    1      4          22       2           0
Region B 
Enimies:
ID   Type   TimeStep   Health   FirePower   Priority
50   2      2          21       5           0.24
50   2      2          21       5           0.24
50   2      2          21       5           0.24
50   2      2          21       5           0.24
50   2      2          21       5           0.24
50   2      2          21       5           0.24
53   2      3          21       5           0.24
53   2      3          21       5           0.24
52   1      0          18       2           0
37   1      0          18       2           0
37   1      0          18       2           0
11   0      0          22       2           0
11   0      0          22       2           0
11   0      0          22       2           0
6    0      0          10       2           0
6    0      0          10       2           0
6    0      0          10       2           0
Region C
Enimies:
ID   Type   TimeStep   Health   FirePower   Priority
28   2      1          19       5           0.22
41   2      2          19       5           0.22
42   2      4          9        5           0.12
54   2      3          9        5           0.12
27   1      0          17       2           0
27   1      0          17       2           0
27   1      0          17       2           0
27   1      0          17       2           0
27   1      0          17       2           0
27   1      0          17       2           0
26   0      1          15       2           0
25   0      4          16       2           0
9    0      4          10       2           0
9    0      4          10       2           0
Region D
Enimies:
ID   Type   TimeStep   Health   FirePower   Priority
31   2      4          21       5           0.24
31   2      4          21       5           0.24
45   2      1          21       5           0.24
45   2      1          21       5           0.24
49   2      1          21       5           0.24
59   2      0          21       5           0.24
62   2      3          12       5           0.15
64   1      0          22       2           0
29   0      1          10       2           0
29   0      1          10       2           0
29   0      1          10       2           0
29   0      1          10       2           0
29   0      1          10       2           0
29   0      1          10       2           0
13   0      1          10       2           0
13   0      1          10       2           0
13   0      1          10       2           0
