KTS  S  FD  KD  FT
75   1  60  6   66
75   2  0   61  61
74   3  62  5   67
72   4  64  4   68
71   5  62  6   68
71   6  56  7   63
70   7  0   61  61
69   8  0   63  63
68   9  0   67  67
68   10 0   60  60
67   11 0   62  62
64   12 0   47  47
63   13 0   61  61
63   14 0   63  63
62   15 0   49  49
61   16 0   46  46
51   17 16  20  36
43   18 14  18  32
43   19 0   37  37
40   20 14  16  30
36   21 12  15  27
32   22 0   24  24
30   23 0   23  23
24   24 0   19  19
23   25 0   19  19
20   26 0   17  17
20   27 0   18  18
20   28 0   19  19
14   29 0   14  14
85   30 56  13  69
80   31 58  9   67
78   32 60  8   68
76   33 10  51  61
69   34 0   54  54
62   35 15  29  44
61   36 0   49  49
60   37 17  27  44
56   38 20  23  43
56   39 0   46  46
55   40 0   48  48
53   41 0   49  49
47   42 0   38  38
33   43 0   25  25
33   44 0   27  27
33   45 0   33  33
32   46 0   27  27
32   47 0   29  29
32   48 0   30  30
32   49 0   31  31
45   50 13  13  26
43   51 16  11  27
41   52 18  9   27
40   53 0   25  25
35   54 19  7   26
35   55 0   22  22
31   56 16  7   23
31   57 17  7   24
31   58 0   21  21
27   59 13  8   21
23   60 0   21  21
23   61 0   20  20
18   62 0   13  13
14   63 0   10  10
12   64 0   11  11
12   65 0   12  12

T1_Total_Damage   T2_Total_Damage   T3_Total_Damage   T4_Total_Damage
32.9513           580.25            368.783           345.333           

R1_Distance       R2_Distance       R3_Distance       R4_Distancen
8                 2                 14                30                

Game is LOSE

Total Enemies = 65

Average Fight Delay = 10.8923

Average Kill Delay = 27.5385
